Country,Year,Num_of_Tourists,Longitude,Latitude
Singapore,2022,5222991,103.819839,1.352083
Indonesia,2022,1481739,113.921327,-0.789275
Thailand,2022,715528,100.992541,15.870032
Brunei Darussalam,2022,301757,114.727669,4.535277
China,2022,212603,104.195397,35.86166
India,2022,324548,78.96288,20.593684
Japan,2022,83309,138.252924,36.204824
Philippines,2022,159442,121.774017,12.879721
Saudi Arabia,2022,35980,45.079162,23.885942
United States of America,2022,108141,-95.712891,37.09024
Canada,2022,30656,-106.346771,56.130366
Australia,2022,152265,133.775136,-25.274398
New Zealand,2022,18238,174.885971,-40.900557
United Kingdom,2022,134667,-3.435973,55.378051
Germany,2022,57780,10.451526,51.165691
Netherlands,2022,31070,5.291266,52.132633
Singapore,2021," 16,308 ",103.819839,1.352083
Indonesia,2021," 11,025 ",113.921327,-0.789275
Thailand,2021," 59,607 ",100.992541,15.870032
Brunei Darussalam,2021, 773 ,114.727669,4.535277
China,2021," 7,701 ",104.195397,35.86166
India,2021," 3,916 ",78.96288,20.593684
Japan,2021," 3,114 ",138.252924,36.204824
Philippines,2021," 2,317 ",121.774017,12.879721
Saudi Arabia,2021, 687 ,45.079162,23.885942
United States of America,2021," 2,030 ",-95.712891,37.09024
Canada,2021, 471 ,-106.346771,56.130366
Australia,2021," 1,321 ",133.775136,-25.274398
New Zealand,2021, 196 ,174.885971,-40.900557
United Kingdom,2021," 2,676 ",-3.435973,55.378051
Germany,2021, 824 ,10.451526,51.165691
Netherlands,2021, 466 ,5.291266,52.132633
Singapore,2020," 1,545,255 ",103.819839,1.352083
Indonesia,2020," 711,723 ",113.921327,-0.789275
Thailand,2020," 394,413 ",100.992541,15.870032
Brunei Darussalam,2020," 136,020 ",114.727669,4.535277
China,2020," 405,149 ",104.195397,35.86166
India,2020," 155,883 ",78.96288,20.593684
Japan,2020," 74,383 ",138.252924,36.204824
Philippines,2020," 66,051 ",121.774017,12.879721
Saudi Arabia,2020," 23,390 ",45.079162,23.885942
United States of America,2020," 48,810 ",-95.712891,37.09024
Canada,2020," 16,631 ",-106.346771,56.130366
Australia,2020," 72,680 ",133.775136,-25.274398
New Zealand,2020," 8,794 ",174.885971,-40.900557
United Kingdom,2020," 63,868 ",-3.435973,55.378051
Germany,2020," 27,458 ",10.451526,51.165691
Netherlands,2020," 14,486 ",5.291266,52.132633
Singapore,2019," 10,163,882 ",103.819839,1.352083
Indonesia,2019," 3,623,277 ",113.921327,-0.789275
Thailand,2019," 1,884,306 ",100.992541,15.870032
Brunei Darussalam,2019," 1,216,123 ",114.727669,4.535277
China,2019," 3,114,257 ",104.195397,35.86166
India,2019," 735,309 ",78.96288,20.593684
Japan,2019," 424,694 ",138.252924,36.204824
Philippines,2019," 421,908 ",121.774017,12.879721
Saudi Arabia,2019," 121,444 ",45.079162,23.885942
United States of America,2019," 269,928 ",-95.712891,37.09024
Canada,2019," 87,568 ",-106.346771,56.130366
Australia,2019," 368,271 ",133.775136,-25.274398
New Zealand,2019," 50,140 ",174.885971,-40.900557
United Kingdom,2019," 346,485 ",-3.435973,55.378051
Germany,2019," 130,221 ",10.451526,51.165691
Netherlands,2019," 82,110 ",5.291266,52.132633
Singapore,2018," 10,615,986 ",103.819839,1.352083
Indonesia,2018," 3,277,689 ",113.921327,-0.789275
Thailand,2018," 1,914,692 ",100.992541,15.870032
Brunei Darussalam,2018," 1,382,031 ",114.727669,4.535277
China,2018," 2,944,133 ",104.195397,35.86166
India,2018," 600,311 ",78.96288,20.593684
Japan,2018," 394,540 ",138.252924,36.204824
Philippines,2018," 396,062 ",121.774017,12.879721
Saudi Arabia,2018," 112,263 ",45.079162,23.885942
United States of America,2018," 253,384 ",-95.712891,37.09024
Canada,2018," 84,705 ",-106.346771,56.130366
Australia,2018," 351,500 ",133.775136,-25.274398
New Zealand,2018," 50,698 ",174.885971,-40.900557
United Kingdom,2018," 361,335 ",-3.435973,55.378051
Germany,2018," 128,895 ",10.451526,51.165691
Netherlands,2018," 81,651 ",5.291266,52.132633
Singapore,2017," 12,441,713 ",103.819839,1.352083
Indonesia,2017," 2,796,570 ",113.921327,-0.789275
Thailand,2017," 1,836,522 ",100.992541,15.870032
Brunei Darussalam,2017," 1,660,506 ",114.727669,4.535277
China,2017," 2,281,666 ",104.195397,35.86166
India,2017," 552,739 ",78.96288,20.593684
Japan,2017," 392,777 ",138.252924,36.204824
Philippines,2017," 370,559 ",121.774017,12.879721
Saudi Arabia,2017," 100,549 ",45.079162,23.885942
United States of America,2017," 198,203 ",-95.712891,37.09024
Canada,2017," 67,056 ",-106.346771,56.130366
Australia,2017," 351,232 ",133.775136,-25.274398
New Zealand,2017," 55,923 ",174.885971,-40.900557
United Kingdom,2017," 358,818 ",-3.435973,55.378051
Germany,2017," 109,816 ",10.451526,51.165691
Netherlands,2017," 75,885 ",5.291266,52.132633
Singapore,2016," 13,272,961 ",103.819839,1.352083
Indonesia,2016," 3,049,964 ",113.921327,-0.789275
Thailand,2016," 1,780,800 ",100.992541,15.870032
Brunei Darussalam,2016," 1,391,016 ",114.727669,4.535277
China,2016," 2,124,942 ",104.195397,35.86166
India,2016," 638,578 ",78.96288,20.593684
Japan,2016," 413,768 ",138.252924,36.204824
Philippines,2016," 417,446 ",121.774017,12.879721
Saudi Arabia,2016," 123,878 ",45.079162,23.885942
United States of America,2016," 217,075 ",-95.712891,37.09024
Canada,2016," 72,337 ",-106.346771,56.130366
Australia,2016," 377,727 ",133.775136,-25.274398
New Zealand,2016," 53,352 ",174.885971,-40.900557
United Kingdom,2016," 400,269 ",-3.435973,55.378051
Germany,2016," 130,276 ",10.451526,51.165691
Netherlands,2016," 72,200 ",5.291266,52.132633
Singapore,2015," 12,930,754 ",103.819839,1.352083
Indonesia,2015," 2,788,033 ",113.921327,-0.789275
Thailand,2015," 1,343,569 ",100.992541,15.870032
Brunei Darussalam,2015," 1,133,555 ",114.727669,4.535277
China,2015," 1,677,163 ",104.195397,35.86166
India,2015," 722,141 ",78.96288,20.593684
Japan,2015," 483,569 ",138.252924,36.204824
Philippines,2015," 554,917 ",121.774017,12.879721
Saudi Arabia,2015," 99,754 ",45.079162,23.885942
United States of America,2015," 237,768 ",-95.712891,37.09024
Canada,2015," 79,557 ",-106.346771,56.130366
Australia,2015," 486,948 ",133.775136,-25.274398
New Zealand,2015," 60,846 ",174.885971,-40.900557
United Kingdom,2015," 401,019 ",-3.435973,55.378051
Germany,2015," 144,910 ",10.451526,51.165691
Netherlands,2015," 84,584 ",5.291266,52.132633
