Num_of_Tourists,Date,Average_Currency
1125425,1/31/2015,2.676709524
991529,2/28/2015,2.65115625
1124697,3/31/2015,2.672918182
1015092,4/30/2015,2.691709091
1135754,5/31/2015,2.699747368
999658,6/30/2015,2.775522727
1096513,7/31/2015,2.792281818
1061084,8/31/2015,2.90118
1080906,9/30/2015,3.04357
1021390,10/31/2015,3.041104762
990371,11/30/2015,3.05312
1288701,12/31/2015,3.039719048
1135104,1/31/2016,3.034947368
997121,2/29/2016,2.975744444
1125822,3/31/2016,2.966195652
1014016,4/30/2016,2.887157143
1130075,5/31/2016,2.950533333
1194314,6/30/2016,3.012728571
1059679,7/31/2016,2.973894737
1075069,8/31/2016,2.990286364
1095495,9/30/2016,3.022915
1130947,10/31/2016,3.017345
998206,11/30/2016,3.069472727
1317113,12/31/2016,3.105575
1169157,1/31/2017,3.119025
976491,2/28/2017,3.139305556
1068479,3/31/2017,3.157556522
956849,4/30/2017,3.152436842
1047373,5/31/2017,3.093090476
1082293,6/30/2017,3.090663158
1019517,7/31/2017,3.127028571
941474,8/31/2017,3.147681818
1018273,9/30/2017,3.118866667
952993,10/31/2017,3.108495238
959897,11/30/2017,3.076786364
1248917,12/31/2017,3.026605263
974677,1/31/2018,2.994
788733,2/28/2018,2.962188889
904058,3/31/2018,2.968131818
739975,4/30/2018,2.9538
788447,5/31/2018,2.962
999336,6/30/2018,2.96747
846951,7/31/2018,2.970290909
876124,8/31/2018,2.988438095
911816,9/30/2018,3.020311765
853921,10/31/2018,3.015034783
866272,11/30/2018,3.0427
1065676,12/31/2018,3.044045
837971,1/31/2019,3.035009524
813186,2/28/2019,3.009323529
974968,3/31/2019,3.012552381
843736,4/30/2019,3.034077273
894454,5/31/2019,3.04263
1017251,6/30/2019,3.053794444
853531,7/31/2019,3.032040909
870657,8/31/2019,3.023390476
763001,9/30/2019,3.032638889
744314,10/31/2019,3.053231818
738951,11/30/2019,3.054028571
811862,12/31/2019,3.056357143
737477,1/31/2020,3.0209
494638,2/29/2020,2.994185
309476,3/31/2020,3.03465
69,4/30/2020,3.056490909
55,5/31/2020,3.06110625
105,6/30/2020,3.067414286
257,7/31/2020,3.073136364
381,8/31/2020,3.058789474
1169,9/30/2020,3.039414286
709,10/31/2020,3.054438095
574,11/30/2020,3.051414286
345,12/31/2020,3.044554545
332,1/31/2021,3.046905263
285,2/28/2021,3.048872222
349,3/31/2021,3.061586957
324,4/30/2021,3.088919048
193,5/31/2021,3.103116667
108,6/30/2021,3.100790476
143,7/31/2021,3.10012381
147,8/31/2021,3.11618
154,9/30/2021,3.091052381
300,10/31/2021,3.0809
935,11/30/2021,3.079685714
13038,12/31/2021,3.089786957
7143,1/31/2022,3.10234
6259,2/28/2022,3.109983333
15728,3/31/2022,3.089695652
262280,4/30/2022,3.124435
400621,5/31/2022,3.172688889
577133,6/30/2022,3.178431818
540673,7/31/2022,3.181504762
513609,8/31/2022,3.227709091
649689,9/30/2022,3.213995238
639880,10/31/2022,3.295473684
656934,11/30/2022,3.332495
953042,12/31/2022,3.263838095
